,Level of study?,Age?,Used smartphone/computer/laptop previously before online class?,Result increased after online education  (comparatively)?,Knowledge increased after online education (comparatively)?,Happy with online education?,Education Institute Area?,Have Internet availability?,Broadband / Mobile Internet?,Total hours of study before online education?,Total hours of study after online education?,Class performance increased in online education?,Institute Type,Current location (During Study) ?,Gender,Faced any issue with online class?,Preferred device for an online course
4466,Hons or Grater,23.0,No,Yes,No,No,Urban,Yes,Mobile Internet,4,4,No,Private,,Male,Yes,Computer
4467,Hons or Grater,25.0,Yes,Yes,Yes,No,Rural,No,Mobile Internet,5,4,No,Private,Urban,Female,,Computer
4468,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,3,No,Private,Rural,Male,,Mobile
4469,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,3,Yes,Public,Urban,Male,No,Mobile
4470,Upto HSC,23.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,5,4,Yes,Private,,Female,Yes,Computer
4471,Hons or Grater,26.0,Yes,Yes,Yes,No,Rural,Yes,Broadband,4,2,No,Private,Rural,Female,Yes,Computer
4472,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,No,Private,Urban,Female,Yes,Computer
4473,Hons or Grater,23.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,4,3,No,Public,,Male,Yes,Computer
4474,Upto HSC,22.0,No,Yes,Yes,No,Urban,Yes,Broadband,5,3,No,Private,Rural,Female,Yes,Mobile
4475,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,6,2,Yes,Private,Rural,Female,Yes,Computer
4476,Upto HSC,22.0,No,Yes,No,Yes,Urban,Yes,Mobile Internet,5,3,No,Private,Urban,,Yes,Mobile
4477,Hons or Grater,24.0,Yes,Yes,Yes,No,Rural,Yes,Broadband,4,3,Yes,Public,Rural,Female,Yes,Computer
4478,Upto HSC,18.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,6,2,No,Public,Urban,Male,No,Computer
4479,Hons or Grater,23.0,Yes,Yes,Yes,No,Rural,Yes,Broadband,5,3,No,Private,Urban,Female,Yes,Mobile
4480,Upto HSC,20.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,No,,Urban,Female,Yes,Computer
4481,Upto HSC,25.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,4,4,Yes,Public,Urban,Male,Yes,Computer
4482,Upto HSC,20.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,2,Yes,Private,Urban,Male,Yes,Mobile
4483,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,4,No,,Urban,Male,No,Computer
4484,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,2,No,Public,Urban,Female,No,Computer
4485,Upto HSC,24.0,No,Yes,No,No,Urban,Yes,Mobile Internet,4,3,No,Private,Rural,Female,Yes,Computer
4486,Hons or Grater,21.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,4,4,Yes,Public,Rural,Male,,Computer
4487,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,2,No,Private,Rural,Male,No,Mobile
4488,Upto HSC,18.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,No,Private,Urban,Male,Yes,Mobile
4489,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Broadband,5,4,Yes,,Rural,Male,,Computer
4490,Upto HSC,18.0,Yes,Yes,Yes,Yes,Rural,Yes,Broadband,4,4,Yes,Private,Urban,Male,No,Computer
4491,Upto HSC,20.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,Yes,,Urban,,Yes,Computer
4492,Hons or Grater,26.0,Yes,Yes,Yes,Yes,Urban,No,Mobile Internet,4,3,No,Public,Urban,Male,Yes,Computer
4493,Upto HSC,21.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,5,3,Yes,Private,Urban,Male,No,Mobile
4494,Hons or Grater,22.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,4,4,No,Private,Rural,Male,Yes,Computer
4495,Upto HSC,20.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,4,No,Private,Urban,Male,No,Mobile
4496,Hons or Grater,25.0,No,Yes,No,No,Urban,Yes,Broadband,3,3,No,Private,Urban,Female,No,Computer
4497,Upto HSC,20.0,No,Yes,No,Yes,Urban,Yes,Broadband,5,2,No,Private,Urban,Male,Yes,Computer
4498,Upto HSC,22.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,2,No,Public,Urban,Female,Yes,Mobile
4499,Upto HSC,21.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,4,2,Yes,Private,Urban,Female,Yes,Mobile
4500,Hons or Grater,23.0,No,Yes,Yes,No,,Yes,Mobile Internet,6,3,No,,Urban,Male,No,Computer
4501,Hons or Grater,21.0,Yes,Yes,No,Yes,Urban,No,Broadband,6,2,Yes,,Rural,Female,,Computer
4502,Hons or Grater,21.0,Yes,Yes,Yes,Yes,Rural,No,Broadband,4,3,Yes,Public,Rural,,No,Computer
4503,Upto HSC,23.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,6,3,Yes,Private,,Female,Yes,Computer
4504,Upto HSC,22.0,No,Yes,No,No,Rural,Yes,Mobile Internet,4,2,No,Public,Urban,Male,No,Computer
4505,Hons or Grater,22.0,Yes,Yes,Yes,No,,Yes,Mobile Internet,5,3,No,Private,Rural,Male,No,Computer
4506,Upto HSC,22.0,No,Yes,Yes,No,Urban,Yes,Mobile Internet,4,3,Yes,Private,Urban,Female,No,Computer
4507,Upto HSC,24.0,Yes,Yes,No,Yes,Rural,No,Mobile Internet,4,2,No,Private,,Male,Yes,Computer
4508,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,4,No,Public,Urban,Female,Yes,Mobile
4509,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,No,Private,,Male,No,Computer
4510,Upto HSC,20.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,4,3,No,Public,Rural,Male,No,Mobile
4511,Upto HSC,22.0,No,Yes,No,Yes,Urban,Yes,Mobile Internet,4,3,No,Private,Urban,Male,,Computer
4512,Hons or Grater,25.0,No,Yes,Yes,No,Urban,Yes,Mobile Internet,5,2,Yes,,Rural,,No,Computer
4513,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,6,4,Yes,Private,Rural,Male,Yes,Mobile
4514,Hons or Grater,22.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,4,No,,Rural,Male,No,Mobile
4515,Upto HSC,24.0,No,Yes,Yes,No,Urban,Yes,Broadband,3,3,No,Private,Rural,Male,No,Mobile
4516,Hons or Grater,26.0,Yes,Yes,No,No,,Yes,Mobile Internet,5,2,No,Private,,Male,Yes,Computer
4517,Hons or Grater,26.0,Yes,,Yes,Yes,Urban,Yes,Mobile Internet,5,4,Yes,Private,Rural,Female,No,Mobile
4518,Hons or Grater,24.0,No,Yes,Yes,Yes,Rural,Yes,Mobile Internet,4,3,No,Private,Urban,Female,No,Mobile
4519,Hons or Grater,25.0,Yes,Yes,Yes,Yes,Rural,Yes,Broadband,4,3,No,Private,Urban,Male,Yes,Mobile
4520,Hons or Grater,22.0,Yes,Yes,Yes,No,Rural,Yes,Broadband,5,3,No,,Rural,Male,No,Computer
4521,Hons or Grater,23.0,Yes,Yes,No,No,Rural,No,Mobile Internet,4,2,Yes,,Rural,Male,No,Computer
4522,Upto HSC,18.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,2,No,Public,Rural,Female,Yes,Mobile
4523,Upto HSC,18.0,No,Yes,No,No,Urban,No,Mobile Internet,6,2,No,Private,Urban,Female,No,Computer
4524,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,2,No,Private,Rural,Male,Yes,Mobile
4525,Upto HSC,18.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,2,Yes,Private,Urban,Female,No,Mobile
4526,Upto HSC,25.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,4,4,No,Public,Rural,Female,,Mobile
4527,Upto HSC,25.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,3,4,Yes,Private,Rural,,,Mobile
4528,Hons or Grater,24.0,Yes,Yes,Yes,No,Rural,Yes,Broadband,5,4,No,Private,Urban,Female,No,Computer
4529,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Urban,No,Mobile Internet,4,2,Yes,Public,Rural,Female,No,Computer
4530,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,3,Yes,Public,Urban,Male,,Mobile
4531,Hons or Grater,26.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,4,No,Private,Urban,,Yes,Computer
4532,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,3,No,Public,Urban,Male,Yes,Mobile
4533,Hons or Grater,21.0,Yes,,Yes,No,,Yes,Mobile Internet,5,3,Yes,Private,Rural,Female,,Computer
4534,Hons or Grater,26.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,4,3,Yes,,Urban,,No,Computer
4535,Hons or Grater,23.0,Yes,Yes,No,No,Rural,No,Broadband,5,2,Yes,Private,Urban,Male,Yes,Computer
4536,Hons or Grater,,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,4,4,Yes,Private,Rural,,No,Mobile
4537,Hons or Grater,22.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,2,No,Public,Urban,Male,No,Computer
4538,Upto HSC,19.0,No,Yes,No,No,Urban,Yes,Broadband,6,3,No,Private,Urban,Male,Yes,Mobile
4539,Upto HSC,22.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,3,3,No,Private,Rural,Male,,Computer
4540,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,4,No,,Rural,Female,Yes,Computer
4541,Hons or Grater,25.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,5,3,No,Private,Urban,Male,No,Mobile
4542,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,2,Yes,Private,Urban,Male,Yes,Computer
4543,Upto HSC,22.0,No,Yes,Yes,No,Urban,Yes,Mobile Internet,4,2,Yes,Public,Urban,Female,Yes,Mobile
4544,Upto HSC,18.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,3,3,Yes,Public,,Female,Yes,Mobile
4545,Hons or Grater,25.0,No,Yes,Yes,No,Urban,Yes,Broadband,3,2,No,Private,Rural,Male,Yes,Mobile
4546,Hons or Grater,,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,5,3,Yes,Private,Rural,Male,Yes,Computer
4547,Upto HSC,22.0,Yes,Yes,No,Yes,Rural,Yes,Broadband,5,3,No,,Urban,Male,No,Computer
4548,Upto HSC,21.0,No,Yes,Yes,No,Urban,Yes,Broadband,3,3,No,Private,Urban,Female,,Computer
4549,Hons or Grater,,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,2,No,Public,Urban,Female,No,Computer
4550,Hons or Grater,26.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,4,3,Yes,Public,Rural,Female,Yes,Computer
4551,Hons or Grater,24.0,Yes,Yes,No,Yes,,Yes,Mobile Internet,5,4,No,Private,Urban,Female,Yes,Mobile
4552,Upto HSC,20.0,No,Yes,Yes,No,Rural,Yes,Mobile Internet,4,2,No,,Urban,,No,Mobile
4553,Upto HSC,22.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,6,2,No,Private,Urban,Female,No,Computer
4554,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,3,No,Public,Urban,Male,No,Computer
4555,Upto HSC,22.0,Yes,Yes,No,Yes,,Yes,Broadband,5,3,No,Public,Urban,Female,Yes,Computer
4556,Upto HSC,20.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,2,Yes,Private,Rural,Female,Yes,Computer
4557,Upto HSC,20.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,4,4,No,Private,Rural,Male,No,Computer
4558,Upto HSC,24.0,Yes,,No,Yes,Rural,No,Broadband,4,2,No,Private,Rural,Female,No,Computer
4559,Hons or Grater,22.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,3,Yes,Private,Urban,Male,No,Mobile
4560,Upto HSC,25.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,2,Yes,,Rural,Female,Yes,Computer
4561,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,No,Private,Rural,Male,Yes,Mobile
4562,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Broadband,6,3,No,Private,,Male,Yes,Computer
4563,Hons or Grater,22.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,2,Yes,Public,Urban,Female,No,Computer
4564,Hons or Grater,22.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,4,4,Yes,Private,Urban,Male,No,Mobile
4565,Upto HSC,23.0,Yes,Yes,No,No,,No,Broadband,5,2,No,,Rural,Male,Yes,Computer
4566,Upto HSC,22.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,2,No,Private,Urban,Male,Yes,Mobile
4567,Hons or Grater,21.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,3,4,No,Private,Urban,Male,No,Mobile
4568,Upto HSC,26.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,3,Yes,Private,Rural,Male,Yes,Computer
4569,Hons or Grater,24.0,Yes,Yes,No,No,,Yes,Mobile Internet,3,2,Yes,Private,Rural,Female,Yes,Mobile
4570,Upto HSC,22.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,2,Yes,Public,Rural,Male,No,Computer
4571,Upto HSC,23.0,Yes,Yes,No,No,Rural,Yes,Broadband,4,3,Yes,Public,Urban,Male,,Mobile
4572,Upto HSC,21.0,No,Yes,No,No,Urban,No,Mobile Internet,4,3,Yes,Private,Urban,Female,No,Computer
4573,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,4,2,Yes,Private,,Male,,Mobile
4574,Upto HSC,20.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,4,No,Public,Rural,Male,Yes,Computer
4575,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,4,4,No,Public,Urban,Male,No,Mobile
4576,Upto HSC,26.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,4,No,Private,Urban,Male,No,Mobile
4577,Hons or Grater,21.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,2,No,,Rural,Male,Yes,Mobile
4578,Hons or Grater,25.0,No,Yes,No,Yes,Urban,Yes,Broadband,4,4,No,Public,Urban,Male,Yes,Computer
4579,Upto HSC,20.0,No,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Private,Urban,Female,Yes,Computer
4580,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Public,,Female,Yes,Computer
4581,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,4,Yes,Private,Rural,Female,Yes,Mobile
4582,Upto HSC,21.0,Yes,Yes,No,No,Rural,Yes,Broadband,5,3,No,,Urban,,Yes,Computer
4583,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,4,2,Yes,Private,Urban,,Yes,Mobile
4584,Hons or Grater,23.0,Yes,Yes,No,No,,Yes,Broadband,5,3,Yes,Private,Urban,Male,Yes,Mobile
4585,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,5,2,No,Public,Urban,,No,Mobile
4586,Hons or Grater,,Yes,Yes,Yes,No,Urban,No,Mobile Internet,5,4,No,Public,Urban,,Yes,Computer
4587,Hons or Grater,23.0,No,Yes,No,No,Urban,Yes,Mobile Internet,5,3,No,,,Male,,Computer
4588,Hons or Grater,21.0,Yes,Yes,Yes,No,Rural,No,Mobile Internet,3,4,Yes,,,Male,Yes,Computer
4589,Upto HSC,24.0,No,Yes,No,No,Rural,Yes,Mobile Internet,5,3,No,Private,Urban,Female,No,Mobile
4590,Hons or Grater,23.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,2,Yes,Private,Urban,Male,No,Mobile
4591,Hons or Grater,22.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,4,2,Yes,Private,Rural,Male,No,Computer
4592,Hons or Grater,25.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,4,4,Yes,Private,Urban,Female,Yes,Computer
4593,Hons or Grater,23.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,3,2,Yes,Private,Rural,Female,Yes,Mobile
4594,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,No,Broadband,5,3,Yes,Private,Urban,Male,Yes,Mobile
4595,Hons or Grater,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,3,Yes,Public,Rural,Female,Yes,Mobile
4596,Hons or Grater,25.0,,Yes,Yes,No,Urban,Yes,Broadband,4,2,Yes,Public,Urban,Male,Yes,Computer
4597,Upto HSC,25.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,4,2,No,Private,Urban,Female,No,Mobile
4598,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,2,Yes,,Rural,Female,Yes,Computer
4599,Upto HSC,22.0,No,Yes,Yes,Yes,Urban,Yes,Broadband,5,3,Yes,Public,Urban,Female,Yes,Computer
4600,Upto HSC,25.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,4,2,Yes,,Rural,Male,No,Computer
4601,Hons or Grater,26.0,Yes,No,Yes,No,Urban,Yes,Broadband,4,3,No,,,Male,No,Computer
4602,Upto HSC,22.0,Yes,No,Yes,No,Urban,Yes,Broadband,3,3,Yes,Private,Urban,Female,No,Computer
4603,Hons or Grater,24.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,4,3,Yes,Public,Rural,Male,Yes,Mobile
4604,Hons or Grater,22.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,2,No,Private,Urban,Female,Yes,Computer
4605,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,3,No,Private,Urban,Male,Yes,Computer
4606,Upto HSC,25.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,4,Yes,Public,Urban,Male,Yes,Mobile
4607,Hons or Grater,24.0,Yes,No,Yes,Yes,Urban,Yes,Mobile Internet,4,2,No,Public,Rural,Female,No,Computer
4608,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,No,Broadband,5,3,No,Public,Rural,Female,No,Computer
4609,Upto HSC,22.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,6,3,Yes,,Urban,Male,Yes,Mobile
4610,Hons or Grater,24.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,6,4,No,Private,Urban,Male,,Computer
4611,Hons or Grater,21.0,Yes,,No,Yes,Urban,Yes,Broadband,4,3,No,Private,Rural,Male,Yes,Computer
4612,Hons or Grater,23.0,Yes,,No,No,Urban,No,Mobile Internet,5,2,Yes,Public,Urban,Male,Yes,Computer
4613,Hons or Grater,22.0,Yes,No,No,No,Rural,Yes,Mobile Internet,4,2,No,,Urban,,No,Mobile
4614,Upto HSC,20.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,4,3,No,Private,Urban,Male,No,Computer
4615,Upto HSC,26.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,4,No,Public,Rural,Female,Yes,Mobile
4616,Hons or Grater,21.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,4,3,No,Public,Urban,Male,Yes,Mobile
4617,Upto HSC,20.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,5,2,Yes,,Rural,Female,No,Mobile
4618,Upto HSC,19.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,3,Yes,Private,Urban,Female,No,Mobile
4619,Hons or Grater,25.0,No,No,Yes,Yes,Urban,Yes,Mobile Internet,4,2,No,Public,,Male,No,Computer
4620,Hons or Grater,24.0,Yes,,Yes,No,,Yes,Broadband,5,3,Yes,Private,,Male,No,Computer
4621,Hons or Grater,,Yes,Yes,Yes,No,Urban,No,Mobile Internet,3,4,Yes,Private,Urban,Female,Yes,Mobile
4622,Hons or Grater,21.0,Yes,Yes,Yes,No,Urban,No,Broadband,4,2,Yes,Private,Urban,Female,,Computer
4623,Hons or Grater,,Yes,Yes,Yes,No,Rural,Yes,Broadband,5,3,Yes,Private,Urban,Male,,Computer
4624,Upto HSC,22.0,Yes,Yes,Yes,No,Rural,No,Mobile Internet,5,3,No,Private,Urban,Female,No,Computer
4625,Upto HSC,23.0,Yes,Yes,No,No,Rural,Yes,Broadband,5,3,No,Private,Urban,Male,Yes,Computer
4626,Hons or Grater,24.0,Yes,Yes,Yes,No,Rural,Yes,Broadband,4,2,No,Public,Urban,Male,Yes,Computer
4627,Hons or Grater,22.0,Yes,No,Yes,Yes,Urban,Yes,Broadband,3,4,Yes,Public,Rural,Male,Yes,Mobile
4628,Hons or Grater,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,2,No,,Urban,Female,Yes,Mobile
4629,Hons or Grater,24.0,No,Yes,Yes,No,Urban,Yes,Broadband,6,4,Yes,Public,,Female,,Mobile
4630,Hons or Grater,23.0,No,Yes,Yes,No,Urban,Yes,Broadband,3,2,Yes,Private,Rural,Male,Yes,Computer
4631,Hons or Grater,22.0,Yes,No,Yes,No,Urban,Yes,Broadband,5,3,No,Private,Urban,Male,Yes,Computer
4632,Hons or Grater,,Yes,Yes,No,No,Urban,No,Mobile Internet,5,2,Yes,Private,Rural,Male,Yes,Computer
4633,Hons or Grater,22.0,Yes,No,No,No,Urban,Yes,Broadband,4,2,No,Private,,Male,Yes,Computer
4634,Hons or Grater,22.0,Yes,No,No,No,Urban,Yes,Mobile Internet,4,2,No,Private,Urban,Female,Yes,Computer
4635,Hons or Grater,24.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,4,2,No,Private,Urban,Female,No,Mobile
4636,Hons or Grater,26.0,Yes,Yes,No,Yes,,No,Mobile Internet,4,3,No,Public,Urban,Female,Yes,Mobile
4637,Hons or Grater,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Public,Urban,Female,Yes,Mobile
4638,Hons or Grater,22.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,5,3,No,Public,Rural,Male,No,Mobile
4639,Upto HSC,22.0,Yes,No,No,No,Urban,Yes,Broadband,5,3,No,Public,,,No,Computer
4640,Upto HSC,26.0,Yes,Yes,Yes,Yes,Rural,No,Mobile Internet,6,3,Yes,Public,Rural,Male,Yes,Computer
4641,Upto HSC,22.0,Yes,No,Yes,No,Urban,Yes,Broadband,3,4,Yes,Private,Urban,Male,No,Computer
4642,Upto HSC,22.0,Yes,No,Yes,Yes,Rural,Yes,Broadband,4,2,Yes,Private,Rural,Female,Yes,Mobile
4643,Upto HSC,19.0,Yes,Yes,Yes,No,Rural,Yes,Broadband,5,4,No,Public,Urban,Female,Yes,Mobile
4644,Upto HSC,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,2,No,Private,Urban,Male,No,Computer
4645,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,3,Yes,Private,Urban,Female,Yes,Computer
4646,Hons or Grater,22.0,Yes,No,No,No,Urban,Yes,Broadband,5,2,Yes,Private,Rural,Male,Yes,Mobile
4647,Upto HSC,20.0,Yes,No,No,No,Urban,Yes,Mobile Internet,5,3,Yes,Private,Rural,Male,No,Computer
4648,Upto HSC,25.0,Yes,Yes,No,No,Rural,Yes,Broadband,6,3,No,Private,Urban,Female,No,Computer
4649,Upto HSC,20.0,Yes,No,No,Yes,Urban,Yes,Broadband,3,2,Yes,Public,Urban,Male,,Computer
4650,Hons or Grater,25.0,No,No,No,Yes,Urban,Yes,Broadband,6,3,Yes,Public,Urban,Female,No,Computer
4651,Hons or Grater,,Yes,,No,No,Rural,No,Broadband,3,3,No,Public,,Female,Yes,Computer
4652,Hons or Grater,25.0,Yes,Yes,No,Yes,Rural,No,Mobile Internet,5,2,No,Private,Rural,,No,Computer
4653,Upto HSC,20.0,No,No,No,No,Urban,Yes,Mobile Internet,5,4,Yes,Private,Rural,Male,Yes,Computer
4654,Upto HSC,24.0,Yes,Yes,Yes,Yes,,No,Broadband,5,2,Yes,Public,Urban,Male,,Computer
4655,Hons or Grater,21.0,No,Yes,Yes,Yes,Urban,No,Broadband,6,2,Yes,Public,Rural,Female,,Computer
4656,Upto HSC,24.0,Yes,Yes,Yes,No,Rural,Yes,Broadband,6,3,No,Private,Urban,Male,No,Mobile
4657,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,4,Yes,Public,Rural,Male,No,Computer
4658,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,3,3,Yes,Private,Urban,Male,Yes,Mobile
4659,Upto HSC,21.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,3,Yes,Public,Rural,Male,Yes,Mobile
4660,Upto HSC,21.0,Yes,No,Yes,No,Urban,Yes,Broadband,5,3,Yes,Private,Urban,Male,No,Computer
4661,Hons or Grater,23.0,Yes,No,Yes,Yes,Urban,Yes,Mobile Internet,4,4,No,Private,Rural,Female,,Mobile
4662,Hons or Grater,23.0,No,No,Yes,No,Urban,Yes,Mobile Internet,6,4,No,Public,Urban,Female,Yes,Computer
4663,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,4,3,No,Public,Rural,,Yes,Computer
4664,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,No,Broadband,6,2,Yes,Private,Rural,Female,No,Computer
4665,Hons or Grater,23.0,Yes,No,No,No,Urban,Yes,Mobile Internet,3,3,Yes,Private,Urban,Female,No,Computer
4666,Hons or Grater,21.0,Yes,,Yes,Yes,Urban,Yes,Broadband,5,3,Yes,Public,Urban,Female,No,Computer
4667,Hons or Grater,21.0,Yes,No,No,No,Urban,Yes,Mobile Internet,4,4,No,Public,Rural,Male,Yes,Computer
4668,Hons or Grater,23.0,Yes,Yes,No,No,,Yes,Mobile Internet,3,3,No,Private,Urban,Female,Yes,Mobile
4669,Hons or Grater,21.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,2,Yes,Private,Rural,Male,Yes,Computer
4670,Hons or Grater,21.0,Yes,No,Yes,Yes,Urban,Yes,Mobile Internet,5,3,No,Public,,Male,No,Computer
4671,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,4,No,Private,Rural,Female,No,Computer
4672,Upto HSC,24.0,No,No,No,No,Rural,Yes,Mobile Internet,3,3,Yes,Public,,Male,Yes,Computer
4673,Upto HSC,18.0,Yes,Yes,No,Yes,Rural,No,Broadband,4,4,Yes,,Urban,Female,No,Computer
4674,Hons or Grater,21.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,5,2,Yes,Private,Rural,Male,Yes,Mobile
4675,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Urban,No,Broadband,5,3,Yes,Private,Urban,Female,Yes,Computer
4676,Upto HSC,18.0,Yes,No,No,Yes,Rural,Yes,Broadband,4,3,Yes,Private,Rural,Male,Yes,Computer
4677,Upto HSC,18.0,Yes,No,Yes,Yes,Urban,Yes,Mobile Internet,4,2,No,Public,Rural,Female,Yes,Computer
4678,Hons or Grater,25.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,4,3,No,,Rural,,Yes,Mobile
